Host,Date,Time,Method,Endpoint,Protocol,Status Code,Content Size,No of Requests
2050150420,2023-02-16,14:07:10,4,193,6,0,5020.0,282
2050150420,2023-02-16,14:07:10,4,199,6,0,9028.0,282
2050150420,2023-02-16,14:07:10,4,185,6,0,2406.0,282
2050150420,2023-02-16,14:07:10,4,198,6,0,15022.0,282
2050150420,2023-02-16,14:07:10,4,188,6,0,35445.0,282
2050150420,2023-02-16,14:07:10,4,192,6,0,44342.0,282
2050150420,2023-02-16,14:07:10,4,180,6,0,14690.0,282
2050150420,2023-02-16,14:07:10,4,178,6,0,6330.0,282
2050150420,2023-02-16,14:07:10,4,307,6,0,956.0,282
2050150420,2023-02-16,14:07:10,4,190,6,0,89476.0,282
2050150420,2023-02-16,14:07:10,4,189,6,0,2532.0,282
2050150420,2023-02-16,14:07:10,4,182,6,0,84378.0,282
2050150420,2023-02-16,14:07:11,4,193,6,0,5020.0,282
2050150420,2023-02-16,14:07:11,4,199,6,0,9028.0,282
2050150420,2023-02-16,14:07:11,4,306,6,0,106323.0,282
2050150420,2023-02-16,14:07:11,4,279,6,0,4212.0,282
2050150420,2023-02-16,14:07:11,4,92,6,0,2729.0,282
2050150420,2023-02-16,14:07:11,4,286,6,0,6789.0,282
2050150420,2023-02-16,14:07:11,4,185,6,0,2406.0,282
2050150420,2023-02-16,14:07:11,4,198,6,0,15022.0,282
2050150420,2023-02-16,14:07:11,4,238,6,0,5487.0,282
2050150420,2023-02-16,14:07:11,4,178,6,0,6330.0,282
2050150420,2023-02-16,14:07:11,4,180,6,0,14690.0,282
2050150420,2023-02-16,14:07:11,4,188,6,0,35445.0,282
2050150420,2023-02-16,14:07:11,4,192,6,0,44342.0,282
2050150420,2023-02-16,14:07:11,4,186,6,0,537868.0,282
2050150420,2023-02-16,14:07:11,4,293,6,0,1588.0,282
2050150420,2023-02-16,14:07:11,4,292,6,0,1629.0,282
2050150420,2023-02-16,14:07:11,4,294,6,0,1642.0,282
2050150420,2023-02-16,14:07:11,4,295,6,0,1636.0,282
2050150420,2023-02-16,14:07:11,4,291,6,0,153088.0,282
2050150420,2023-02-16,14:07:11,4,184,6,0,93260.0,282
2050150420,2023-02-16,14:07:12,4,195,6,0,125268.0,282
2050150420,2023-02-16,14:07:12,4,296,6,0,442343.0,282
2050150420,2023-02-16,14:07:13,4,177,6,0,491.0,282
2050150420,2023-02-16,14:14:28,4,129,6,3,162.0,282
2050150420,2023-02-16,14:14:28,4,130,6,0,979.0,282
2050150420,2023-02-16,14:14:28,4,138,6,0,1697.0,282
2050150420,2023-02-16,14:14:28,4,164,6,0,305.0,282
2050150420,2023-02-16,14:14:28,4,155,6,0,970.0,282
2050150420,2023-02-16,14:14:28,4,139,6,0,0.0,282
2050150420,2023-02-16,14:14:28,4,137,6,0,998.0,282
2050150420,2023-02-16,14:14:28,4,154,6,0,6615.0,282
2050150420,2023-02-16,14:14:28,4,164,6,0,305.0,282
2050150420,2023-02-16,14:14:29,4,145,6,0,267123.0,282
2050150420,2023-02-16,14:14:29,4,137,6,0,998.0,282
2050150420,2023-02-16,14:14:29,4,154,6,0,6615.0,282
2050150420,2023-02-16,14:14:29,4,161,6,0,44152.0,282
2050150420,2023-02-16,14:14:29,4,121,6,0,22493.0,282
2050150420,2023-02-16,14:14:29,4,156,6,0,1150.0,282
2050150420,2023-02-16,14:14:29,4,158,6,0,162098.0,282
2050150420,2023-02-16,14:14:30,4,145,6,0,267123.0,282
2050150420,2023-02-16,14:14:31,4,120,6,0,646.0,282
2050150420,2023-02-16,14:14:31,4,144,6,0,70518.0,282
2050150420,2023-02-16,14:14:31,4,150,6,0,193334.0,282
2050150420,2023-02-16,14:14:31,4,136,6,4,0.0,282
2050150420,2023-02-16,14:14:31,4,166,6,4,0.0,282
2050150420,2023-02-16,14:14:32,4,133,6,4,0.0,282
2050150420,2023-02-16,14:14:32,4,135,6,4,0.0,282
2050150420,2023-02-16,14:14:32,4,163,6,0,0.0,282
2050150420,2023-02-16,14:14:32,4,162,6,0,0.0,282
2050150420,2023-02-16,14:14:32,4,123,6,0,96.0,282
2050150420,2023-02-16,14:14:32,4,132,6,0,979.0,282
2050150420,2023-02-16,14:14:32,4,138,6,0,1697.0,282
2050150420,2023-02-16,14:14:32,4,164,6,0,305.0,282
2050150420,2023-02-16,14:14:32,4,154,6,0,6615.0,282
2050150420,2023-02-16,14:14:32,4,137,6,0,998.0,282
2050150420,2023-02-16,14:14:32,4,155,6,0,970.0,282
2050150420,2023-02-16,14:14:32,4,139,6,0,0.0,282
2050150420,2023-02-16,14:14:32,4,145,6,0,267130.0,282
2050150420,2023-02-16,14:14:32,4,161,6,0,44152.0,282
2050150420,2023-02-16,14:14:32,4,121,6,0,22486.0,282
2050150420,2023-02-16,14:14:32,4,156,6,0,1150.0,282
2050150420,2023-02-16,14:14:32,4,164,6,0,305.0,282
2050150420,2023-02-16,14:14:32,4,144,6,0,70556.0,282
2050150420,2023-02-16,14:14:32,4,154,6,0,6615.0,282
2050150420,2023-02-16,14:14:32,4,150,6,0,193248.0,282
2050150420,2023-02-16,14:14:32,4,137,6,0,998.0,282
2050150420,2023-02-16,14:14:32,4,145,6,0,267362.0,282
2050150420,2023-02-16,14:14:34,4,120,6,0,646.0,282
2050150420,2023-02-16,14:14:34,4,156,6,0,1150.0,282
2050150420,2023-02-16,14:14:34,4,144,6,0,70519.0,282
2050150420,2023-02-16,14:14:34,4,150,6,0,193272.0,282
2050150420,2023-02-16,14:14:34,4,162,6,0,0.0,282
2050150420,2023-02-16,14:14:34,4,123,6,0,96.0,282
2050150420,2023-02-16,14:14:34,4,163,6,0,0.0,282
2050150420,2023-02-16,14:14:34,4,147,6,0,5277.0,282
2050150420,2023-02-16,14:14:34,4,148,6,0,11628.0,282
2050150420,2023-02-16,14:14:34,4,143,6,0,6269.0,282
2050150420,2023-02-16,14:14:34,4,142,6,0,21535.0,282
2050150420,2023-02-16,14:14:34,4,331,6,0,3089.0,282
2050150420,2023-02-16,14:14:34,4,129,6,3,162.0,282
2050150420,2023-02-16,14:14:34,4,149,6,0,62808.0,282
2050150420,2023-02-16,14:14:34,4,160,6,0,74991.0,282
2050150420,2023-02-16,14:14:34,4,157,6,0,1964.0,282
2050150420,2023-02-16,14:14:34,4,152,6,0,8892.0,282
2050150420,2023-02-16,14:14:34,4,153,6,0,60840.0,282
2050150420,2023-02-16,14:14:34,4,151,6,0,8800.0,282
2050150420,2023-02-16,14:14:34,4,130,6,0,979.0,282
2050150420,2023-02-16,14:14:35,4,114,6,0,21.0,282
2050150420,2023-02-16,14:14:35,4,119,6,0,622.0,282
2050150420,2023-02-16,14:14:35,4,122,6,0,92.0,282
2050150420,2023-02-16,14:14:35,4,118,6,1,0.0,282
2050150420,2023-02-16,14:14:38,4,147,6,0,5277.0,282
2050150420,2023-02-16,14:14:38,4,143,6,0,6269.0,282
2050150420,2023-02-16,14:14:38,4,148,6,0,11628.0,282
2050150420,2023-02-16,14:14:38,4,144,6,0,70556.0,282
2050150420,2023-02-16,14:14:38,4,142,6,0,21535.0,282
2050150420,2023-02-16,14:14:38,4,150,6,0,193381.0,282
2050150420,2023-02-16,14:14:38,4,149,6,0,62785.0,282
2050150420,2023-02-16,14:14:43,4,156,6,0,1150.0,282
2050150420,2023-02-16,14:14:43,4,115,6,0,4807.0,282
2050150420,2023-02-16,14:14:43,4,141,6,0,10312.0,282
2050150420,2023-02-16,14:14:43,4,159,6,0,5308.0,282
2050150420,2023-02-16,14:14:43,4,140,6,0,11271.0,282
2050150420,2023-02-16,14:14:43,4,146,6,0,30524.0,282
2050150420,2023-02-16,14:14:43,4,156,6,0,1150.0,282
2050150420,2023-02-16,14:14:43,4,124,6,0,629.0,282
2050150420,2023-02-16,14:14:43,4,117,6,0,92.0,282
2050150420,2023-02-16,14:14:43,4,124,6,0,629.0,282
2050150420,2023-02-16,14:14:43,4,117,6,0,92.0,282
2050150420,2023-02-16,14:14:43,4,116,6,0,101.0,282
2050150420,2023-02-16,14:14:43,4,118,6,1,0.0,282
2050150420,2023-02-16,14:14:44,4,141,6,0,10312.0,282
2050150420,2023-02-16,14:14:44,4,140,6,0,11271.0,282
2050150420,2023-02-16,14:14:44,4,146,6,0,30524.0,282
2050150420,2023-02-16,14:14:55,4,10,6,0,5952.0,282
2050150420,2023-02-16,14:14:55,4,187,6,0,92208.0,282
2050150420,2023-02-16,14:14:56,4,181,6,0,161409.0,282
2050150420,2023-02-16,14:14:56,4,183,6,0,63235.0,282
2050150420,2023-02-16,14:14:56,4,194,6,0,110438.0,282
2050150420,2023-02-16,14:14:56,4,197,6,0,20309.0,282
2050150420,2023-02-16,14:14:56,4,191,6,0,3351.0,282
2050150420,2023-02-16,14:14:56,4,179,6,0,26053.0,282
2050150420,2023-02-16,14:14:56,4,175,6,0,35417.0,282
2050150420,2023-02-16,14:14:56,4,306,6,0,106323.0,282
2050150420,2023-02-16,14:14:56,4,307,6,0,956.0,282
2050150420,2023-02-16,14:14:56,4,182,6,0,84378.0,282
2050150420,2023-02-16,14:14:56,4,189,6,0,2532.0,282
2050150420,2023-02-16,14:14:56,4,190,6,0,89476.0,282
2050150420,2023-02-16,14:14:56,4,193,6,0,5020.0,282
2050150420,2023-02-16,14:14:56,4,199,6,0,9028.0,282
2050150420,2023-02-16,14:14:56,4,185,6,0,2406.0,282
2050150420,2023-02-16,14:14:56,4,198,6,0,15022.0,282
2050150420,2023-02-16,14:14:56,4,192,6,0,44342.0,282
2050150420,2023-02-16,14:14:56,4,180,6,0,14690.0,282
2050150420,2023-02-16,14:14:56,4,188,6,0,35445.0,282
2050150420,2023-02-16,14:14:56,4,178,6,0,6330.0,282
2050150420,2023-02-16,14:14:56,4,307,6,0,956.0,282
2050150420,2023-02-16,14:14:56,4,189,6,0,2532.0,282
2050150420,2023-02-16,14:14:56,4,190,6,0,89476.0,282
2050150420,2023-02-16,14:14:56,4,193,6,0,5020.0,282
2050150420,2023-02-16,14:14:56,4,306,6,0,106323.0,282
2050150420,2023-02-16,14:14:57,4,286,6,0,6789.0,282
2050150420,2023-02-16,14:14:57,4,238,6,0,5487.0,282
2050150420,2023-02-16,14:14:57,4,279,6,0,4212.0,282
2050150420,2023-02-16,14:14:57,4,92,6,0,2729.0,282
2050150420,2023-02-16,14:14:57,4,292,6,0,1629.0,282
2050150420,2023-02-16,14:14:57,4,294,6,0,1642.0,282
2050150420,2023-02-16,14:14:57,4,295,6,0,1636.0,282
2050150420,2023-02-16,14:14:57,4,291,6,0,153088.0,282
2050150420,2023-02-16,14:14:57,4,184,6,0,93260.0,282
2050150420,2023-02-16,14:14:57,4,293,6,0,1588.0,282
2050150420,2023-02-16,14:14:57,4,195,6,0,125268.0,282
2050150420,2023-02-16,14:14:57,4,186,6,0,537868.0,282
2050150420,2023-02-16,14:14:57,4,296,6,0,442343.0,282
1113983446,2023-02-16,14:15:12,4,10,6,0,5952.0,1
2637312005,2023-02-16,14:15:49,4,10,6,0,5952.0,41
2637312005,2023-02-16,14:15:51,4,181,6,0,161409.0,41
2637312005,2023-02-16,14:15:51,4,187,6,0,92208.0,41
2637312005,2023-02-16,14:15:51,4,197,6,0,20309.0,41
2637312005,2023-02-16,14:15:51,4,183,6,0,63235.0,41
2637312005,2023-02-16,14:15:51,4,194,6,0,110438.0,41
2637312005,2023-02-16,14:15:51,4,191,6,0,3351.0,41
2637312005,2023-02-16,14:15:51,4,179,6,0,26053.0,41
2637312005,2023-02-16,14:15:51,4,175,6,0,35417.0,41
2637312005,2023-02-16,14:15:51,4,307,6,0,956.0,41
2637312005,2023-02-16,14:15:51,4,306,6,0,106323.0,41
2637312005,2023-02-16,14:15:52,4,190,6,0,89476.0,41
2637312005,2023-02-16,14:15:52,4,182,6,0,84378.0,41
2637312005,2023-02-16,14:15:52,4,189,6,0,2532.0,41
2637312005,2023-02-16,14:15:52,4,193,6,0,5020.0,41
2637312005,2023-02-16,14:15:52,4,199,6,0,9028.0,41
2637312005,2023-02-16,14:15:52,4,185,6,0,2406.0,41
2637312005,2023-02-16,14:15:52,4,198,6,0,15022.0,41
2637312005,2023-02-16,14:15:52,4,192,6,0,44342.0,41
2637312005,2023-02-16,14:15:52,4,188,6,0,35445.0,41
2637312005,2023-02-16,14:15:52,4,180,6,0,14690.0,41
2637312005,2023-02-16,14:15:52,4,178,6,0,6330.0,41
2637312005,2023-02-16,14:15:53,4,286,6,0,6789.0,41
2637312005,2023-02-16,14:15:53,4,92,6,0,2729.0,41
2637312005,2023-02-16,14:15:53,4,279,6,0,4212.0,41
2637312005,2023-02-16,14:15:53,4,238,6,0,5487.0,41
2637312005,2023-02-16,14:15:53,4,292,6,0,1629.0,41
2637312005,2023-02-16,14:15:54,4,186,6,0,537868.0,41
2637312005,2023-02-16,14:15:54,4,295,6,0,1636.0,41
2637312005,2023-02-16,14:15:54,4,291,6,0,153088.0,41
2637312005,2023-02-16,14:15:54,4,293,6,0,1588.0,41
2637312005,2023-02-16,14:15:54,4,294,6,0,1642.0,41
2050150420,2023-02-16,14:15:55,4,265,6,0,548.0,282
2637312005,2023-02-16,14:15:56,4,195,6,0,125268.0,41
2637312005,2023-02-16,14:15:56,4,184,6,0,93260.0,41
2637312005,2023-02-16,14:15:56,4,177,6,0,491.0,41
2637312005,2023-02-16,14:15:56,4,296,6,0,442343.0,41
2050150420,2023-02-16,14:15:57,4,450,6,0,62298.0,282
2050150420,2023-02-16,14:15:57,4,280,6,7,548.0,282
2637312005,2023-02-16,14:17:14,4,265,6,0,548.0,41
2637312005,2023-02-16,14:17:16,4,280,6,7,548.0,41
2637312005,2023-02-16,14:17:16,4,450,6,0,62298.0,41
3240132585,2023-02-16,14:27:29,4,10,6,0,5952.0,5
3334957782,2023-02-16,14:30:23,4,201,6,7,146.0,1
2090654717,2023-02-16,15:15:22,4,10,6,0,5952.0,4
2090654717,2023-02-16,15:15:32,78,540,2,6,150.0,4
2090654717,2023-02-16,15:15:33,0,0,0,6,150.0,4
2090654717,2023-02-16,15:15:39,0,0,0,6,150.0,4
2556019923,2023-02-16,15:30:21,4,10,6,0,5952.0,84
1920438898,2023-02-16,15:56:20,4,400,6,7,146.0,1
2637312005,2023-02-16,16:07:35,4,265,6,0,548.0,41
2637312005,2023-02-16,16:07:37,4,450,6,0,62298.0,41
883396698,2023-02-16,16:08:50,4,10,6,0,5952.0,19
2556019923,2023-02-16,17:02:07,4,52,6,0,5952.0,84
1779071541,2023-02-16,17:07:54,4,16,6,7,548.0,2
1779071541,2023-02-16,17:07:56,7,10,6,8,552.0,2
2415145644,2023-02-16,17:34:39,4,236,6,6,248.0,62
879889991,2023-02-16,17:40:53,4,177,6,0,491.0,3
1113982711,2023-02-16,17:58:18,4,265,6,0,548.0,1
1123638769,2023-02-16,17:58:20,4,265,6,0,548.0,1
3079201056,2023-02-16,18:00:45,4,10,6,0,5952.0,198
3079201056,2023-02-16,18:07:17,4,280,6,7,548.0,198
3079201056,2023-02-16,18:07:22,4,10,6,0,5952.0,198
2637317393,2023-02-16,18:12:24,4,265,6,0,548.0,78
2637317393,2023-02-16,18:12:25,4,280,6,7,548.0,78
2637317393,2023-02-16,18:12:25,4,450,6,0,62298.0,78
2637317393,2023-02-16,18:12:28,4,10,6,0,5952.0,78
2637317393,2023-02-16,18:12:29,4,197,6,0,20309.0,78
2637317393,2023-02-16,18:12:29,4,191,6,0,3351.0,78
2637317393,2023-02-16,18:12:29,4,181,6,0,161409.0,78
2637317393,2023-02-16,18:12:29,4,179,6,0,26053.0,78
2637317393,2023-02-16,18:12:29,4,187,6,0,92208.0,78
2637317393,2023-02-16,18:12:29,4,175,6,0,35417.0,78
2637317393,2023-02-16,18:12:29,4,183,6,0,63235.0,78
2637317393,2023-02-16,18:12:29,4,307,6,0,956.0,78
2637317393,2023-02-16,18:12:30,4,194,6,0,110438.0,78
2637317393,2023-02-16,18:12:30,4,306,6,0,106323.0,78
2637317393,2023-02-16,18:12:30,4,189,6,0,2532.0,78
2637317393,2023-02-16,18:12:30,4,190,6,0,89476.0,78
2637317393,2023-02-16,18:12:30,4,193,6,0,5020.0,78
2637317393,2023-02-16,18:12:30,4,199,6,0,9028.0,78
2637317393,2023-02-16,18:12:30,4,182,6,0,84378.0,78
2637317393,2023-02-16,18:12:30,4,185,6,0,2406.0,78
2637317393,2023-02-16,18:12:30,4,198,6,0,15022.0,78
2637317393,2023-02-16,18:12:30,4,188,6,0,35445.0,78
2637317393,2023-02-16,18:12:30,4,180,6,0,14690.0,78
2637317393,2023-02-16,18:12:30,4,178,6,0,6330.0,78
2637317393,2023-02-16,18:12:30,4,192,6,0,44342.0,78
2637317393,2023-02-16,18:12:30,4,286,6,0,6789.0,78
2637317393,2023-02-16,18:12:30,4,92,6,0,2729.0,78
2637317393,2023-02-16,18:12:30,4,279,6,0,4212.0,78
2637317393,2023-02-16,18:12:30,4,238,6,0,5487.0,78
2637317393,2023-02-16,18:12:30,4,186,6,0,537868.0,78
2637317393,2023-02-16,18:12:30,4,292,6,0,1629.0,78
2637317393,2023-02-16,18:12:30,4,293,6,0,1588.0,78
2637317393,2023-02-16,18:12:30,4,295,6,0,1636.0,78
2637317393,2023-02-16,18:12:30,4,294,6,0,1642.0,78
2637317393,2023-02-16,18:12:31,4,291,6,0,153088.0,78
2637317393,2023-02-16,18:12:31,4,184,6,0,93260.0,78
2637317393,2023-02-16,18:12:31,4,195,6,0,125268.0,78
2637317393,2023-02-16,18:12:31,4,296,6,0,442343.0,78
2637317393,2023-02-16,18:21:53,4,265,6,0,548.0,78
2637317393,2023-02-16,18:21:54,4,450,6,0,62298.0,78
2637317393,2023-02-16,18:22:20,4,285,6,0,6398.0,78
2637317393,2023-02-16,18:22:21,4,181,6,0,161409.0,78
2637317393,2023-02-16,18:22:21,4,197,6,0,20309.0,78
2637317393,2023-02-16,18:22:21,4,191,6,0,3351.0,78
2637317393,2023-02-16,18:22:21,4,179,6,0,26053.0,78
2637317393,2023-02-16,18:22:21,4,175,6,0,35417.0,78
2637317393,2023-02-16,18:22:21,4,187,6,0,92208.0,78
2637317393,2023-02-16,18:22:21,4,183,6,0,63235.0,78
2637317393,2023-02-16,18:22:21,4,306,6,0,106323.0,78
2637317393,2023-02-16,18:22:21,4,307,6,0,956.0,78
2637317393,2023-02-16,18:22:21,4,194,6,0,110438.0,78
2637317393,2023-02-16,18:22:21,4,189,6,0,2532.0,78
2637317393,2023-02-16,18:22:21,4,193,6,0,5020.0,78
2637317393,2023-02-16,18:22:21,4,190,6,0,89476.0,78
2637317393,2023-02-16,18:22:21,4,199,6,0,9028.0,78
2637317393,2023-02-16,18:22:21,4,182,6,0,84378.0,78
2637317393,2023-02-16,18:22:21,4,185,6,0,2406.0,78
2637317393,2023-02-16,18:22:21,4,198,6,0,15022.0,78
2637317393,2023-02-16,18:22:21,4,192,6,0,44342.0,78
2637317393,2023-02-16,18:22:21,4,188,6,0,35445.0,78
2637317393,2023-02-16,18:22:21,4,180,6,0,14690.0,78
2637317393,2023-02-16,18:22:21,4,178,6,0,6330.0,78
2637317393,2023-02-16,18:22:22,4,287,6,0,6044.0,78
2637317393,2023-02-16,18:22:22,4,93,6,0,5283.0,78
2637317393,2023-02-16,18:22:22,4,186,6,0,537868.0,78
2637317393,2023-02-16,18:22:22,4,291,6,0,153088.0,78
2637317393,2023-02-16,18:22:22,4,296,6,0,442343.0,78
2637317393,2023-02-16,18:22:22,4,68,6,2,146976.0,78
2637317393,2023-02-16,18:22:22,4,68,6,2,76926.0,78
2637317393,2023-02-16,18:22:23,4,73,6,2,1015328.0,78
2637317393,2023-02-16,18:22:23,4,63,6,2,720416.0,78
2637317393,2023-02-16,18:22:23,4,74,6,2,605728.0,78
2637317393,2023-02-16,18:22:23,4,68,6,2,523804.0,78
2637317393,2023-02-16,18:22:29,4,195,6,0,125268.0,78
2637317393,2023-02-16,18:22:30,4,68,6,2,359963.0,78
2637317393,2023-02-16,18:22:32,4,63,6,2,458267.0,78
2637317393,2023-02-16,18:22:36,4,74,6,2,687643.0,78
2637317393,2023-02-16,18:22:38,4,73,6,2,425499.0,78
1806367000,2023-02-16,19:02:31,4,96,6,7,146.0,1
2556019923,2023-02-16,19:40:48,4,10,6,0,5952.0,84
585331374,2023-02-16,20:12:31,4,10,6,0,5952.0,3
585331374,2023-02-16,20:13:22,0,0,0,6,150.0,3
585331374,2023-02-16,20:13:24,0,0,0,6,150.0,3
575446761,2023-02-16,20:18:44,4,10,6,0,5952.0,5
1761132900,2023-02-16,20:36:01,5,10,5,6,0.0,30
1761132900,2023-02-16,20:36:02,4,451,6,7,548.0,30
1761132900,2023-02-16,20:36:03,4,451,6,6,650.0,30
1761132900,2023-02-16,20:36:04,4,451,6,7,548.0,30
1761132900,2023-02-16,20:36:05,4,219,6,7,548.0,30
1761132900,2023-02-16,20:36:06,4,219,6,6,650.0,30
1761132900,2023-02-16,20:36:06,4,219,6,7,548.0,30
1761132900,2023-02-16,20:36:08,4,449,6,7,548.0,30
1761132900,2023-02-16,20:36:09,4,449,6,6,650.0,30
1761132900,2023-02-16,20:36:09,4,449,6,7,548.0,30
1761132900,2023-02-16,20:36:11,4,443,6,7,548.0,30
1761132900,2023-02-16,20:36:12,4,443,6,6,650.0,30
1761132900,2023-02-16,20:36:12,4,443,6,7,548.0,30
1761132900,2023-02-16,20:36:14,4,448,6,7,146.0,30
1761132900,2023-02-16,20:36:14,4,448,6,6,248.0,30
1761132900,2023-02-16,20:36:15,4,448,6,7,146.0,30
1761132900,2023-02-16,20:36:17,4,281,6,7,548.0,30
1761132900,2023-02-16,20:36:17,4,281,6,6,650.0,30
1761132900,2023-02-16,20:36:18,4,281,6,7,548.0,30
1761132900,2023-02-16,20:36:19,4,10,6,0,5952.0,30
1761132900,2023-02-16,20:36:20,4,10,6,6,650.0,30
1761132900,2023-02-16,20:36:21,4,10,6,0,5952.0,30
1123631649,2023-02-16,20:40:31,4,400,6,7,146.0,7
1123631649,2023-02-16,20:40:31,4,131,6,0,979.0,7
1123631661,2023-02-16,20:40:33,4,470,6,0,4100.0,43
1123631649,2023-02-16,20:40:34,4,128,6,9,0.0,7
1123631661,2023-02-16,20:40:38,4,458,6,0,35410.0,43
1123631648,2023-02-16,20:40:40,4,460,6,0,161409.0,7
1123631648,2023-02-16,20:40:40,4,467,6,0,89493.0,7
1123631661,2023-02-16,20:40:41,4,465,6,0,20309.0,43
1123631661,2023-02-16,20:40:42,4,463,6,0,3351.0,43
1123631661,2023-02-16,20:40:43,4,462,6,0,92208.0,43
1123631661,2023-02-16,20:40:43,4,469,6,0,3657.0,43
1123631683,2023-02-16,20:40:45,4,461,6,0,63235.0,19
1123631618,2023-02-16,20:40:47,4,459,6,0,26053.0,5
1123631661,2023-02-16,20:40:47,4,468,6,0,2685.0,43
1123631661,2023-02-16,20:40:49,4,464,6,0,110438.0,43
1123631648,2023-02-16,20:41:26,4,145,6,0,267216.0,7
1123631648,2023-02-16,20:41:27,4,137,6,0,998.0,7
1123631661,2023-02-16,20:41:28,4,155,6,0,970.0,43
1123631649,2023-02-16,20:41:29,4,139,6,0,0.0,7
1123631661,2023-02-16,20:41:29,4,154,6,0,6615.0,43
1123631648,2023-02-16,20:41:30,4,138,6,0,1697.0,7
1123631648,2023-02-16,20:41:31,4,164,6,0,305.0,7
1123631661,2023-02-16,20:41:31,4,161,6,0,44152.0,43
1123631661,2023-02-16,20:41:32,4,121,6,0,22486.0,43
1123631661,2023-02-16,20:41:33,4,120,6,0,646.0,43
1123631618,2023-02-16,20:41:34,4,136,6,4,0.0,5
1123631661,2023-02-16,20:41:34,4,144,6,0,70556.0,43
1123631618,2023-02-16,20:41:36,4,150,6,0,193256.0,5
1123631661,2023-02-16,20:41:37,4,167,6,4,0.0,43
1123631683,2023-02-16,20:41:37,4,134,6,4,0.0,19
